year,region,uf,station_name,wmo_code,latitude,longitude,altitude,foundation_date,name (wmo)
2016,co,df,brasilia,a001,-15.78944444,-47.92583332,1159.54,2000-05-07,brasilia (a001)
2016,co,go,goiania,a002,-16.64277777,-49.21999999,770.0,2001-05-29,goiania (a002)
2016,co,go,morrinhos,a003,-17.71666667,-49.1,771.42,2001-05-25,morrinhos (a003)
2023,co,go,porangatu,a005,-13.30944444,-49.11749999,365.0,2001-06-04,porangatu (a005)
2016,n,to,palmas,a009,-10.18333333,-48.3,280.0,2004-12-17,palmas (a009)
2016,n,to,parana,a010,-12.615,-47.87194443,280.0,2005-03-04,parana (a010)
2016,co,go,sao simao,a011,-18.96666666,-50.61666666,488.51,2006-07-15,sao simao (a011)
2016,co,go,luziania,a012,-16.27222222,-47.96638889,959.5,2006-10-21,luziania (a012)
2016,co,go,aragarcas,a013,-15.90583333,-52.24388888,347.0,2007-07-13,aragarcas (a013)
2016,co,go,goias,a014,-15.93916666,-50.14138888,512.0,2007-07-18,goias (a014)
2016,co,go,itapaci,a015,-14.98027777,-49.53944444,522.0,2007-02-03,itapaci (a015)
2016,co,go,jatai,a016,-17.92388888,-51.71777777,582.0,2007-05-23,jatai (a016)
2016,co,go,posse,a017,-14.08916666,-46.36638888,834.0,2007-04-18,posse (a017)
2016,n,to,peixe,a018,-12.01666666,-48.55,242.0,2006-12-01,peixe (a018)
2016,n,to,gurupi,a019,-11.74583333,-49.04972221,287.0,2006-12-20,gurupi (a019)
2016,n,to,pedro afonso,a020,-8.9686111,-48.19416666,189.0,2007-01-23,pedro afonso (a020)
2016,n,to,araguaina,a021,-7.10416666,-48.20111111,226.0,2007-01-26,araguaina (a021)
2016,co,go,goianesia,a022,-15.22027777,-48.99027777,667.0,2007-06-02,goianesia (a022)
2016,co,go,caiaponia,a023,-16.96666666,-51.81749999,737.0,2007-05-21,caiaponia (a023)
2016,co,go,alto paraiso de goias,a024,-14.13305554,-47.52305554,1260.0,2007-06-04,alto paraiso de goias (a024)
2016,co,go,rio verde,a025,-17.78583333,-50.98138888,782.0,2007-05-17,rio verde (a025)
2016,co,go,mineiros,a026,-17.45472222,-52.60111111,862.0,2007-11-24,mineiros (a026)
2016,co,go,parauna,a027,-16.94583333,-50.42527777,678.0,2008-03-29,parauna (a027)
2016,co,go,ipora,a028,-16.42305554,-51.14805555,625.0,2013-06-24,ipora (a028)
2017,co,go,edeia,a029,-17.33694444,-49.91472222,608.0,2017-08-26,edeia (a029)
2017,co,go,sao miguel do araguaia,a031,-12.81972221,-50.34166666,340.0,2017-06-29,sao miguel do araguaia (a031)
2016,co,go,monte alegre de goias,a032,-13.24805555,-46.88972221,1253.0,2007-06-07,monte alegre de goias (a032)
2016,co,go,pires do rio,a033,-17.30416666,-48.28416666,752.0,2007-10-12,pires do rio (a033)
2016,co,go,catalao,a034,-18.15777777,-47.92638888,890.0,2008-01-31,catalao (a034)
2016,co,go,itumbiara,a035,-18.40972222,-49.19194444,488.0,2007-11-01,itumbiara (a035)
2016,co,go,cristalina,a036,-16.78805555,-47.61166666,1202.0,2007-12-14,cristalina (a036)
2016,co,go,silvania,a037,-16.67694443,-48.61805554,949.0,2010-10-08,silvania (a037)
2016,n,to,dianopolis,a038,-11.59416666,-46.84722221,732.0,2008-08-30,dianopolis (a038)
2016,n,to,formoso do araguaia,a039,-11.98722221,-49.60833333,220.0,2008-04-27,formoso do araguaia (a039)
2016,n,to,mateiros,a040,-10.42999999,-45.91999999,798.0,2012-10-25,mateiros (a040)
2016,n,to,marianopolis do to,a041,-9.57666666,-49.72333332,203.0,2012-11-24,marianopolis do to (a041)
2017,co,df,brazlandia,a042,-15.59972221,-48.1311111,1143.0,2017-07-19,brazlandia (a042)
2016,n,to,campos lindos,a043,-8.15472222,-46.63916666,425.0,2012-10-29,campos lindos (a043)
2016,n,to,araguatins,a044,-5.6436111,-48.11166666,117.0,2009-03-12,araguatins (a044)
2016,co,df,aguas emendadas,a045,-15.59638888,-47.62583332,1200.0,2008-10-03,aguas emendadas (a045)
2016,co,df,gama (ponte alta),a046,-15.93527777,-48.13749999,990.0,2014-10-01,gama (ponte alta) (a046)
2017,co,df,paranoa (coopa-df),a047,-16.01111111,-47.5575,1043.0,2017-02-07,paranoa (coopa-df) (a047)
2016,n,to,santa fe do araguaia,a048,-7.12416666,-48.78138888,171.0,2016-07-30,santa fe do araguaia (a048)
2016,n,to,colinas do tocantins,a049,-8.09277777,-48.4786111,200.0,2016-11-11,colinas do tocantins (a049)
2016,n,to,rio sono,a050,-9.16,-47.13277777,291.0,2016-08-03,rio sono (a050)
2016,n,to,pium,a051,-10.47694443,-49.62944443,161.0,2016-04-06,pium (a051)
2016,n,to,santa rosa do tocantins,a052,-11.04638888,-48.18555555,306.0,2015-08-14,santa rosa do tocantins (a052)
2016,n,to,almas,a053,-11.28416666,-47.21222222,512.0,2016-04-01,almas (a053)
2016,n,to,araguacu,a054,-12.59222221,-49.5286111,231.0,2015-08-19,araguacu (a054)
2016,n,to,lagoa da confusao,a055,-10.80833333,-49.84777777,178.0,2016-11-15,lagoa da confusao (a055)
2023,co,go,cristalina (fazenda santa monica),a056,-16.39944444,-47.62583332,932.0,2018-01-25,cristalina (fazenda santa monica) (a056)
2016,n,am,manaus,a101,-3.10333333,-60.01638888,61.25,2000-05-09,manaus (a101)
2016,n,ac,parque estadual chandless,a102,-9.3575,-69.92722221,187.0,2008-08-05,parque estadual chandless (a102)
2016,n,ac,rio branco,a104,-9.95777777,-68.165,220.0,2008-07-11,rio branco (a104)
2016,n,ac,cruzeiro do sul,a108,-7.61055555,-72.405,220.0,2015-05-14,cruzeiro do sul (a108)
2016,n,am,eirunepe,a109,-6.65027777,-69.86694443,143.0,2012-08-31,eirunepe (a109)
2016,n,am,boca do acre,a110,-8.77666666,-67.33222221,111.0,2008-07-15,boca do acre (a110)
2016,n,am,labrea,a111,-7.43527777,-64.7886111,64.0,2008-07-27,labrea (a111)
2016,n,am,humaita,a112,-7.92277777,-63.12138888,72.0,2008-04-25,humaita (a112)
2016,n,am,apui,a113,-7.21527777,-59.8886111,160.0,2008-07-19,apui (a113)
2016,n,am,coari,a117,-4.09749999,-63.14527777,53.0,2008-04-12,coari (a117)
2016,n,am,manacapuru,a119,-3.29472221,-60.62833332,55.0,2008-04-10,manacapuru (a119)
2016,n,am,autazes,a120,-2.05638888,-60.02555554,78.0,2008-04-17,autazes (a120)
2016,n,am,itacoatiara,a121,-3.13305554,-58.48277777,74.0,2008-04-17,itacoatiara (a121)
2016,n,am,maues,a122,-3.39888888,-57.6736111,35.0,2008-04-22,maues (a122)
2016,n,am,parintins,a123,-2.64055555,-56.75472222,52.0,2008-04-11,parintins (a123)
2016,n,am,urucara,a124,-2.89638888,-57.75833333,17.0,2008-04-17,urucara (a124)
2016,n,am,rio urubu,a125,-2.7211111,-59.94333333,59.0,2008-06-26,rio urubu (a125)
2016,n,am,presidente figueiredo,a126,-2.08499999,-60.04888888,92.0,2008-04-19,presidente figueiredo (a126)
2016,n,am,barcelos,a128,-0.95861111,-62.94222221,42.0,2008-04-19,barcelos (a128)
2016,n,am,manicore,a133,-5.81055555,-61.29194444,71.0,2011-12-12,manicore (a133)
2016,n,am,s. g. da cachoeira,a134,-0.12499999,-67.06111111,90.0,2011-08-31,s. g. da cachoeira (a134)
2016,n,rr,boa vista,a135,2.81694443,-60.69083333,94.0,2010-08-26,boa vista (a135)
2016,n,ac,porto walter,a136,-8.26694443,-72.74777777,204.0,2009-10-29,porto walter (a136)
2016,n,ac,marechal thaumaturgo,a137,-8.95,-72.78666666,230.0,2009-10-27,marechal thaumaturgo (a137)
2016,n,ac,feijo,a138,-8.24194444,-70.57527777,163.0,2009-09-24,feijo (a138)
2016,n,ac,epitaciolandia,a140,-11.0236111,-68.73499999,217.0,2009-09-25,epitaciolandia (a140)
2023,n,am,novo aripuana,a144,-8.0911111,-60.38055554,45.0,2019-07-18,novo aripuana (a144)
2016,n,pa,belem,a201,-1.41027777,-48.43833333,24.0,2003-01-20,belem (a201)
2016,n,pa,castanhal,a202,-1.30083333,-47.93083332,65.0,2003-01-24,castanhal (a202)
2016,ne,ma,sao luis,a203,-2.52694443,-44.21305555,56.0,2003-01-29,sao luis (a203)
2016,ne,ma,balsas,a204,-7.45527777,-46.02749999,254.0,2007-10-26,balsas (a204)
2016,ne,ma,carolina,a205,-7.33722221,-47.45972222,192.0,2007-12-04,carolina (a205)
2016,ne,ma,chapadinha,a206,-3.74277777,-43.35194444,91.0,2008-09-17,chapadinha (a206)
2016,ne,ma,grajau,a207,-5.82472221,-46.15944444,230.0,2008-09-10,grajau (a207)
2016,n,pa,medicilandia,a209,-3.51083333,-52.96361111,251.0,2008-02-17,medicilandia (a209)
2016,n,pa,pacaja,a210,-3.8436111,-50.63805555,108.0,2008-02-27,pacaja (a210)
2016,n,pa,placas,a211,-3.8811111,-54.2461111,96.0,2008-02-14,placas (a211)
2016,n,pa,paragominas,a212,-3.01027777,-47.34305555,101.0,2007-10-18,paragominas (a212)
2016,n,pa,tome acu,a213,-2.6,-48.36666666,38.0,2007-10-14,tome acu (a213)
2016,n,pa,rondon do para,a214,-4.82749999,-48.17333332,203.0,2008-04-17,rondon do para (a214)
2016,n,pa,salinopolis,a215,-0.6186111,-47.35666666,41.0,2008-06-14,salinopolis (a215)
2016,n,pa,sao felix do xingu,a216,-6.63972221,-51.95694444,211.0,2016-11-15,sao felix do xingu (a216)
2016,ne,ma,farol de santana,a217,-2.27083332,-43.62388888,8.0,2008-11-28,farol de santana (a217)
2016,ne,ma,preguicas,a218,-2.59249999,-42.70722222,0.1,2008-11-22,preguicas (a218)
2016,ne,ma,turiacu,a219,-1.66166666,-45.37277777,41.0,2008-06-10,turiacu (a219)
2016,ne,ma,bacabal,a220,-4.24305555,-44.79499999,28.0,2008-07-09,bacabal (a220)
2016,ne,ma,barra do corda,a221,-5.50666666,-45.23694444,153.0,2008-03-06,barra do corda (a221)
2016,ne,ma,colinas,a222,-6.03333333,-44.23333333,179.0,2008-06-03,colinas (a222)
2016,ne,ma,alto parnaiba,a223,-9.10805555,-45.93194443,281.0,2008-06-03,alto parnaiba (a223)
